data,Name,Games,tackles made,tackles won,intercept,total blocks,total clearances,total red cards,total yellow cards,total saves,saves per goal
Season_16,D. Alli,12,5.53,3.92,1.11,4.12,0,0,0.4,0.1,0
Season_16,G. Sigurdsson,13,3.72,2.3,2.93,4.83,2.14,0,0.16,0.16,0
Season_16,J. Evans,12,3.5,2.08,6.42,3.5,12.83,0,0.67,1.67,0
Season_16,E. Dier,12,4.79,3.5,3.7,3.9,14.38,0,0.6,1.7,0
Season_16,J. Vertonghen,13,3.38,2.69,3.46,2.92,16.85,0,0.38,1.62,0
Season_16,G. Clichy,06,7.47,5.43,9.34,6.11,16.64,0,0.34,0.34,0
Season_16,M. Kelly,13,5.34,3.94,3.02,6.26,16.59,0,0.46,1.97,0
Season_16,B. Oviedo,06,8.91,7.58,4.93,6.44,11.37,0,0.76,0.95,0
Season_16,A. Kolarov,12,4.23,3.08,4.14,2.2,13.91,0,0.53,0.88,0
Season_16,F. Fernández,08,5.5,4,6.25,4.75,23.13,0,0.88,2.5,0
Season_16,N. Amrabat,12,4.71,3.58,2.66,4.71,0,0,0.41,0.31,0
Season_16,J. King,13,4.71,3.6,1.85,2.58,0,0,0.09,0.55,0
Season_16,K. De Bruyne,12,4.86,3.47,2.48,3.87,0,0,0.4,0.1,0
Season_16,P. Jagielka,13,3.58,2.66,3.41,3.5,16.73,0.08,0.42,2,0
Season_16,D. Luiz,09,4.67,3.11,7.11,3.56,19.56,0,0.67,1.56,0
Season_16,A. Lallana,12,5.81,3.91,2.34,3.57,0,0,0.33,0.22,0
Season_16,M. Britos,11,3.29,3.02,4.94,3.29,0,0.18,0,1.65,0
Season_16,G. Ramírez,12,4.95,3.98,1.61,4.62,0,0.11,0,0.22,0
Season_16,M. Keane,13,2.23,1.92,5,4.69,19.77,0,0.31,3.46,0
Season_16,V. van Dijk,14,2.86,2.21,4,2.14,0,0.07,0,1.07,0
Season_16,D. Rose,08,6.25,4.25,2.88,4.13,0,0,1,0.38,0
Season_16,S. Arfield,12,4.54,3.53,4.66,8.07,0,0,0.38,0.88,0
Season_16,D. Lovren,10,4.4,3.1,4.7,2.8,18,0,0.6,1.6,0
Season_16,R. Bertrand,09,4.18,2.6,5.31,7.34,0,0,0.34,1.13,0
Season_16,G. Whelan,11,4.27,2.51,3.62,3.99,0,0,0.46,1.95,0
Season_16,S. Prödl,12,3.26,2.44,4.88,4.34,0,0.09,0,2.98,0
Season_16,T. Alderweireld,08,5.35,4.57,3.39,4.96,21.13,0,0.13,2.74,0
Season_16,D. Fletcher,13,3.57,2.24,3.65,3.07,3.24,0,0,0.17,0
Season_16,Pedro,12,7.61,5.7,3.49,3.33,0,0,0.95,0.16,0
Season_16,D. Silva,11,4.44,3.33,1.62,4.24,0,0,0.61,0.4,0
Season_16,P. Højbjerg,12,5.55,3.91,4.29,3.03,0,0,0.25,0.63,0
Season_16,B. Gibson,13,2.38,1.69,4.77,3.69,18.38,0,0.31,2.38,0
Season_16,T. Cleverley,08,8.96,6.61,6.61,6.4,0,0,0.85,1.28,0
Season_16,C. Brunt,06,7.61,5.49,7.39,10.99,16.06,0,1.06,0.85,0
Season_16,A. Masuaku,05,8.65,6.59,5.77,5.97,0,0,0.21,0.21,0
Season_16,G. Wijnaldum,13,4.47,3.04,2.47,1.62,0,0,0.19,0.19,0
Season_16,D. Janmaat,07,8.65,5.96,4.42,5.19,0,0,0.38,0.58,0
Season_16,A. Oxlade-Chamberlain,11,7.16,5.81,2.32,10.26,6.77,0,0.19,0.39,0
Season_16,J. Denayer,06,8.54,5.77,8.31,10.15,20.54,0,0.46,4.38,0
Season_16,T. Huddlestone,10,5.17,3.65,7.6,5.63,0,0.15,0,1.67,0
Season_16,L. Koné,11,2.73,2.55,4.27,3.18,17.45,0,0.36,2,0
Season_16,Y. Kaboul,10,4.26,2.36,5.72,4.04,15.26,0,0.22,1.57,0
Season_16,M. Darmian,04,11.35,7.3,10.81,5.41,21.08,0,0.81,0.54,0
Season_16,R. Huth,12,2.34,1.84,3.68,4.76,17.97,0,0.75,3.18,0
Season_16,A. King,09,6.39,4.88,4.88,5.05,0,0,0.67,2.19,0
Season_16,J. Barton,01,43,31,21,21,0,0,4,3,0
Season_16,R. Mahrez,13,3.2,2.05,2.67,4.36,0,0,0.36,0.18,0
Season_16,D. Amartey,10,5.07,3.14,3.14,3.74,0,0,0.36,0.84,0
Season_16,M. Holgate,03,13.67,10.33,7,7.67,23.33,0,0.67,1.67,0
Season_16,A. N'Diaye,00,37,35,20,20,0,0,7,6,0
Season_16,N. Redmond,14,2.92,1.9,1.17,3.22,0,0.07,0,0.22,0
Season_16,D. Marney,12,3.29,2.31,2.4,3.29,0,0,0.62,1.42,0
Season_16,M. Arnautovic,12,2.99,2.48,2.22,2.74,0,0.09,0,0.17,0
Season_16,Y. Touré,02,21.5,14.5,8.5,10,0,0,2,2,0
Season_16,J. Amat,10,3.7,2.3,3.2,3.4,10.1,0,0.5,1.6,0
Season_16,L. Leiva,07,11.29,7.32,11.29,7.63,18.61,0,1.22,1.22,0
Season_16,M. Antonio,13,2.61,2.2,2.36,2.77,0,0.08,0,0.16,0
Season_16,R. Snodgrass,12,3.38,2.76,1.25,2.05,0,0,0.18,0.18,0
Season_16,J. Schlupp,04,22.5,18,17.36,16.07,36.64,0,0,2.57,0
Season_16,B. Davies,04,12.4,8.9,3.82,8.27,25.44,0,0.32,2.23,0
Season_16,P. Djilobodji,09,3.05,2.11,6.68,4.34,0,0.12,0,2.7,0
Season_16,M. Yoshida,02,15,10.5,23,14.5,74.5,0,1,7,0
Season_16,S. Larsson,00,38,27,14,27,0,1,0,9,0
Season_16,P. Jones,03,11.33,8,9.67,9.33,46.67,0,0.67,5.67,0
Season_16,J. Rodwell,08,5.35,3.94,2.68,2.54,7.18,0,0.56,1.13,0
Season_16,J. Hendrick,11,3.36,1.88,3.95,3.06,0,0.1,0,1.09,0
Season_16,A. Ogbonna,10,2.9,2.4,4,2.6,0,0,0.2,1.5,0
Season_16,W. Morgan,13,2.08,1.08,4.31,3.15,10.69,0,0.23,1.92,0
Season_16,C. Fàbregas,04,31,27,17,31,0,0,8,2,0
Season_16,A. Mawson,03,9,7.67,10,12,57.67,0,0.33,9.33,0
Season_16,T. Davies,03,38,27,18,13,0,0,4,5,0
Season_16,H. Bellerín,11,2.27,1.82,3.55,3.45,5.27,0,0.36,0.64,0
Season_16,J. Stones,11,2.58,2.08,4.07,3.08,11.01,0,0.1,1.39,0
Season_16,M. Diouf,08,8.36,6.21,4.54,4.06,0,0,0.72,0.72,0
Season_16,P. Bardsley,09,4.36,3.54,3.68,2.04,0,0.14,0,0.82,0
Season_16,J. O'Shea,08,4.87,3.02,6.88,5.04,24.85,0,0.84,2.85,0
Season_16,L. Sané,06,12.75,8.02,6.19,10.2,0,0,1.46,0.36,0
Season_16,J. Manquillo,07,4.43,3.14,3.43,4.14,0,0,0.29,0.71,0
Season_16,M. Rojo,05,6.54,4.96,7.44,5.41,33.83,0,1.13,1.35,0
Season_16,A. Rangel,09,7.87,5.32,5.78,4.16,8.1,0,0.23,0.69,0
Season_16,A. Cresswell,05,4.6,3.2,5.8,11.4,0,0.2,0,1.4,0
Season_16,S. Boufal,05,15.83,10.42,2.08,8.33,0,0,2.08,0.42,0
Season_16,C. Stuani,09,6.18,4.29,1.72,3.26,0,0,0.69,0.52,0
Season_16,D. Delaney,11,2.4,1.92,3.55,2.79,13.83,0,0.77,2.02,0
Season_16,S. Byram,05,8.21,6.16,14.37,10.61,0,0.34,0,1.37,0
Season_16,T. Walcott,12,3.16,2.19,1.14,1.23,0,0,0.09,0.09,0
Season_16,R. Barkley,12,2.72,2.27,0.91,2.63,0,0,0.45,0.54,0
Season_16,J. Tomkins,10,3.27,2.1,4.55,2.8,14.24,0,0.47,1.63,0
Season_16,S. Okazaki,10,4.71,3.8,1.82,3.34,0,0,0.15,0.3,0
Season_16,A. Traoré,08,5.51,4.98,1.07,3.02,0,0,0.18,0.36,0
Season_16,A. Ranocchia,00,28,22,22,25,118,0,2,12,0
Season_16,T. Carroll,01,30,23,20,17,0,0,1,3,0
Season_16,M. Carrick,03,12.19,7.97,19.69,9.84,0,0,0.94,3.28,0
Season_16,L. Milivojevic,00,29,17,39,15,0,0,4,5,0
Season_16,M. Phillips,12,2.16,1.31,1.97,5.06,0,0,0.19,0.28,0
Season_16,N. Chadli,08,4.2,2.9,3.19,2.75,0,0,0.29,0.43,0
Season_16,J. Collins,08,2.63,2.13,4.75,3.5,18.38,0,0.38,2.25,0
Season_16,D. Meyler,12,3.85,2.79,2.79,2.12,0,0,0.27,0.27,0
Season_16,J. Morrison,09,6.73,4.24,6.48,6.48,0,0,0.75,1,0
Season_16,M. Schneiderlin,03,23.88,17.45,29.39,14.69,0,0,1.84,3.67,0
Season_16,J. Wilshere,12,3.23,2.23,1.56,2.67,0,0,0.45,0.67,0
Season_16,J. Ward-Prowse,10,8.79,5.76,5.76,6.06,0,0,1.21,0.61,0
Season_16,K. Sung-yueng,11,4.12,2.97,3.46,4.62,0,0,0.49,0.49,0
Season_16,R. Funes Mori,07,6.21,3.82,7.4,5.25,27.69,0,0,1.91,0
Season_16,Gabriel,01,25,16,30,21,92,0,6,9,0
Season_16,N. Taylor,05,4.94,4.04,6.51,4.94,0,0,0.22,0.67,0
Season_16,J. Fulton,03,14.77,9.69,3.23,6,0,0,0.92,1.85,0
Season_16,J. Stephens,00,22,15,24,32,84,0,1,19,0
Season_16,B. Chilwell,00,23,18,23,20,0,0,2,3,0
Season_16,E. Fernandes,06,8.63,6,7.13,11.25,0,0,1.5,0.75,0
Season_16,D. Tadic,11,2,1.37,1.79,5.05,0,0,0.42,0.21,0
Season_16,S. Defour,09,2.85,2.25,5.09,3.59,0,0,0.15,0.6,0
Season_16,C. Cathcart,05,5.11,3.33,4.22,6.89,12,0,0.67,3.11,0
Season_16,M. Özil,12,2.3,1.75,1.47,1.56,0,0,0.18,0.09,0
Season_16,A. Guédioura,06,9.62,8.46,4.62,4.23,0,0,0.77,0.38,0
Season_16,A. Diomande,10,4.08,3.1,1.14,3.92,0,0,0.16,0.33,0
Season_16,M. Dawson,05,3,2.2,6,9,26.2,0,0.8,6.4,0
Season_16,F. Borini,02,11.69,8.77,14.61,16.36,0,0,2.92,1.17,0
Season_16,J. Ledley,10,3.37,2.02,4.05,1.62,0,0,0.13,0.4,0
Season_16,R. Klavan,04,8.33,6,5,5.67,32,0,1,3.33,0
Season_16,R. Sterling,12,2.26,1.53,1.53,1.62,0,0,0.63,0.09,0
Season_16,J. Navas,08,5.92,5.61,6.54,6.23,0,0,0.62,0.31,0
Season_16,H. Nordtveit,06,5.28,4.17,6.94,6.67,11.11,0,0.56,1.94,0
Season_16,Bernardo,00,22,16,19,19,72,0,2,7,0
Season_16,C. Adam,07,4.38,3.5,5.26,3.94,0,0,1.53,1.53,0
Season_16,B. Sagna,06,4.1,2.56,3.93,1.88,0,0,0.34,0.51,0
Season_16,S. Dann,10,1.7,1,3.6,2.7,9.7,0,0.2,1.9,0
Season_16,T. Deeney,12,1.67,1.08,1.33,2.67,0,0,0.58,0.33,0
Season_16,N. Aké,05,6.97,5.39,3.8,6.34,24.72,0,0.32,3.49,0
Season_16,L. Britton,06,4.82,2.81,4.22,2.81,0,0,0.6,1,0
Season_16,J. Gudmundsson,12,2.27,1.93,1.93,1.81,0,0,0.11,0.45,0
Season_16,A. Iwobi,09,3.22,2.58,1.29,4.19,0,0,0.16,0.64,0
Season_16,R. Brady,01,21,16,11,19,0,0,1,2,0
Season_16,A. Surman,09,1.78,1,4.78,1.78,0,0.11,0,0.44,0
Season_16,A. Doucouré,01,18,14,21,18,0,0,4,4,0
Season_16,D. Love,05,9.18,5.97,7.35,9.64,12.4,0,0.46,3.21,0
Season_16,A. Barnes,05,10.38,7.42,1.98,11.87,0,0.49,0,3.96,0
Season_16,M. Muniesa,02,17.83,11.04,19.53,9.34,0,0,1.7,4.25,0
Season_16,W. Rooney,12,2.89,1.52,2.34,2.89,0,0,1.1,0.41,0
Season_16,A. Young,04,6.84,5.7,6.08,5.7,0,0,0.76,0.76,0
Season_16,Á. Negredo,13,1.52,1.27,0.84,1.69,5.4,0,0.42,0.25,0
Season_16,S. Pienaar,09,3.1,2.29,2.94,1.8,0,0.16,0,0.82,0
Season_16,A. Martial,08,3.92,3.23,2.31,4.85,0,0,0.46,0.23,0
Season_16,J. Lingard,07,3.65,2.79,3.01,4.3,0,0,0.64,0.21,0
Season_16,A. Mariappa,00,17,15,15,12,52,0,0,6,0
Season_16,F. Llorente,10,2.37,1.87,0.25,2.49,0,0,0.25,0.5,0
Season_16,A. Ramsey,05,9.17,4.37,5.24,8.74,0,0,1.31,1.31,0
Season_16,M. Pugh,01,22,13,12,9,0,0,1,2,0
Season_16,D. Gray,08,7.92,5.42,3.33,7.92,0,0,0.83,0.42,0
Season_16,Y. Benalouane,00,17,12,26,8,0,0,4,5,0
Season_16,S. Rondón,13,1.48,1.15,0.58,1.48,3.21,0,0.16,0.16,0
Season_16,J. Tarkowski,04,17.45,12.86,10.1,11.02,0,0,0.92,6.43,0
Season_16,C. Kabasele,04,10.23,8.18,11.59,12.95,32.05,0,0.68,1.36,0
Season_16,R. Fraser,06,5.38,4.3,3.59,8.61,0,0,1.08,0.36,0
Season_16,K. Trippier,02,17,13,7,18,0,0,1,3,0
Season_16,J. Defoe,13,1.47,0.93,0.23,1.62,0,0,0.08,0.15,0
Season_16,E. Valencia,08,5.48,4.45,4.45,4.79,0,0,0.34,0.34,0
Season_16,D. Costa,13,1.49,0.79,0.63,1.65,0,0,0.79,0.24,0
Season_16,J. McCarthy,04,7.34,3.86,4.25,6.95,0,0,0.77,1.16,0
